Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;2807901 Madrid distrito 01;2807901018 Madrid sección 01018;Renta bruta media por persona;2022;28.790
28079 Madrid;2807901 Madrid distrito 01;2807901018 Madrid sección 01018;Renta bruta media por hogar;2022;54.672
28079 Madrid;2807901 Madrid distrito 01;2807901019 Madrid sección 01019;Renta neta media por persona;2022;22.143
28079 Madrid;2807901 Madrid distrito 01;2807901019 Madrid sección 01019;Renta neta media por hogar;2022;42.110
28079 Madrid;2807901 Madrid distrito 01;2807901019 Madrid sección 01019;Media de la renta por unidad de consumo;2022;29.469
28079 Madrid;2807901 Madrid distrito 01;2807901019 Madrid sección 01019;Mediana de la renta por unidad de consumo;2022;26.250
28079 Madrid;2807901 Madrid distrito 01;2807901019 Madrid sección 01019;Renta bruta media por persona;2022;28.253
28079 Madrid;2807901 Madrid distrito 01;2807901019 Madrid sección 01019;Renta bruta media por hogar;2022;53.731
28079 Madrid;2807901 Madrid distrito 01;2807901020 Madrid sección 01020;Renta neta media por persona;2022;18.677
28079 Madrid;2807901 Madrid distrito 01;2807901020 Madrid sección 01020;Renta neta media por hogar;2022;36.183
28079 Madrid;2807901 Madrid distrito 01;2807901020 Madrid sección 01020;Media de la renta por unidad de consumo;2022;25.350
28079 Madrid;2807901 Madrid distrito 01;2807901020 Madrid sección 01020;Mediana de la renta por unidad de consumo;2022;20.650
28079 Madrid;2807901 Madrid distrito 01;2807901020 Madrid sección 01020;Renta bruta media por persona;2022;23.723
28079 Madrid;2807901 Madrid distrito 01;2807901020 Madrid sección 01020;Renta bruta media por hogar;2022;45.959
28079 Madrid;2807901 Madrid distrito 01;2807901021 Madrid sección 01021;Renta neta media por persona;2022;21.218
28079 Madrid;2807901 Madrid distrito 01;2807901021 Madrid sección 01021;Renta neta media por hogar;2022;43.603
28079 Madrid;2807901 Madrid distrito 01;2807901021 Madrid sección 01021;Media de la renta por unidad de consumo;2022;29.410
28079 Madrid;2807901 Madrid distrito 01;2807901021 Madrid sección 01021;Mediana de la renta por unidad de consumo;2022;25.550
28079 Madrid;2807901 Madrid distrito 01;2807901021 Madrid sección 01021;Renta bruta media por persona;2022;27.112
28079 Madrid;2807901 Madrid distrito 01;2807901021 Madrid sección 01021;Renta bruta media por hogar;2022;55.716
28079 Madrid;2807901 Madrid distrito 01;2807901022 Madrid sección 01022;Renta neta media por persona;2022;18.645
28079 Madrid;2807901 Madrid distrito 01;2807901022 Madrid sección 01022;Renta neta media por hogar;2022;36.992
28079 Madrid;2807901 Madrid distrito 01;2807901022 Madrid sección 01022;Media de la renta por unidad de consumo;2022;25.326
28079 Madrid;2807901 Madrid distrito 01;2807901022 Madrid sección 01022;Mediana de la renta por unidad de consumo;2022;23.450
28079 Madrid;2807901 Madrid distrito 01;2807901022 Madrid sección 01022;Renta bruta media por persona;2022;23.555
28079 Madrid;2807901 Madrid distrito 01;2807901022 Madrid sección 01022;Renta bruta media por hogar;2022;46.733
28079 Madrid;2807901 Madrid distrito 01;2807901023 Madrid sección 01023;Renta neta media por persona;2022;16.937
28079 Madrid;2807901 Madrid distrito 01;2807901023 Madrid sección 01023;Renta neta media por hogar;2022;33.875
28079 Madrid;2807901 Madrid distrito 01;2807901023 Madrid sección 01023;Media de la renta por unidad de consumo;2022;22.800
28079 Madrid;2807901 Madrid distrito 01;2807901023 Madrid sección 01023;Mediana de la renta por unidad de consumo;2022;17.150
28079 Madrid;2807901 Madrid distrito 01;2807901023 Madrid sección 01023;Renta bruta media por persona;2022;20.982
28079 Madrid;2807901 Madrid distrito 01;2807901023 Madrid sección 01023;Renta bruta media por hogar;2022;41.965
28079 Madrid;2807901 Madrid distrito 01;2807901024 Madrid sección 01024;Renta neta media por persona;2022;19.666
28079 Madrid;2807901 Madrid distrito 01;2807901024 Madrid sección 01024;Renta neta media por hogar;2022;36.018
28079 Madrid;2807901 Madrid distrito 01;2807901024 Madrid sección 01024;Media de la renta por unidad de consumo;2022;26.084
28079 Madrid;2807901 Madrid distrito 01;2807901024 Madrid sección 01024;Mediana de la renta por unidad de consumo;2022;21.350
28079 Madrid;2807901 Madrid distrito 01;2807901024 Madrid sección 01024;Renta bruta media por persona;2022;25.066
28079 Madrid;2807901 Madrid distrito 01;2807901024 Madrid sección 01024;Renta bruta media por hogar;2022;45.908
28079 Madrid;2807901 Madrid distrito 01;2807901025 Madrid sección 01025;Renta neta media por persona;2022;21.902
28079 Madrid;2807901 Madrid distrito 01;2807901025 Madrid sección 01025;Renta neta media por hogar;2022;49.280
28079 Madrid;2807901 Madrid distrito 01;2807901025 Madrid sección 01025;Media de la renta por unidad de consumo;2022;30.578
28079 Madrid;2807901 Madrid distrito 01;2807901025 Madrid sección 01025;Mediana de la renta por unidad de consumo;2022;23.450
28079 Madrid;2807901 Madrid distrito 01;2807901025 Madrid sección 01025;Renta bruta media por persona;2022;28.549
28079 Madrid;2807901 Madrid distrito 01;2807901025 Madrid sección 01025;Renta bruta media por hogar;2022;64.236
28079 Madrid;2807901 Madrid distrito 01;2807901026 Madrid sección 01026;Renta neta media por persona;2022;21.030
28079 Madrid;2807901 Madrid distrito 01;2807901026 Madrid sección 01026;Renta neta media por hogar;2022;42.594
28079 Madrid;2807901 Madrid distrito 01;2807901026 Madrid sección 01026;Media de la renta por unidad de consumo;2022;31.294
28079 Madrid;2807901 Madrid distrito 01;2807901026 Madrid sección 01026;Mediana de la renta por unidad de consumo;2022;25.550
28079 Madrid;2807901 Madrid distrito 01;2807901026 Madrid sección 01026;Renta bruta media por persona;2022;28.638
28079 Madrid;2807901 Madrid distrito 01;2807901026 Madrid sección 01026;Renta bruta media por hogar;2022;58.004
28079 Madrid;2807901 Madrid distrito 01;2807901027 Madrid sección 01027;Renta neta media por persona;2022;22.776
28079 Madrid;2807901 Madrid distrito 01;2807901027 Madrid sección 01027;Renta neta media por hogar;2022;43.544
28079 Madrid;2807901 Madrid distrito 01;2807901027 Madrid sección 01027;Media de la renta por unidad de consumo;2022;30.651
28079 Madrid;2807901 Madrid distrito 01;2807901027 Madrid sección 01027;Mediana de la renta por unidad de consumo;2022;25.550
28079 Madrid;2807901 Madrid distrito 01;2807901027 Madrid sección 01027;Renta bruta media por persona;2022;29.484
28079 Madrid;2807901 Madrid distrito 01;2807901027 Madrid sección 01027;Renta bruta media por hogar;2022;56.369
28079 Madrid;2807901 Madrid distrito 01;2807901028 Madrid sección 01028;Renta neta media por persona;2022;18.637
28079 Madrid;2807901 Madrid distrito 01;2807901028 Madrid sección 01028;Renta neta media por hogar;2022;38.599
28079 Madrid;2807901 Madrid distrito 01;2807901028 Madrid sección 01028;Media de la renta por unidad de consumo;2022;25.594
28079 Madrid;2807901 Madrid distrito 01;2807901028 Madrid sección 01028;Mediana de la renta por unidad de consumo;2022;21.350
28079 Madrid;2807901 Madrid distrito 01;2807901028 Madrid sección 01028;Renta bruta media por persona;2022;23.928
28079 Madrid;2807901 Madrid distrito 01;2807901028 Madrid sección 01028;Renta bruta media por hogar;2022;49.558
28079 Madrid;2807901 Madrid distrito 01;2807901029 Madrid sección 01029;Renta neta media por persona;2022;18.032
28079 Madrid;2807901 Madrid distrito 01;2807901029 Madrid sección 01029;Renta neta media por hogar;2022;38.225
28079 Madrid;2807901 Madrid distrito 01;2807901029 Madrid sección 01029;Media de la renta por unidad de consumo;2022;25.401
28079 Madrid;2807901 Madrid distrito 01;2807901029 Madrid sección 01029;Mediana de la renta por unidad de consumo;2022;19.950
28079 Madrid;2807901 Madrid distrito 01;2807901029 Madrid sección 01029;Renta bruta media por persona;2022;22.968
28079 Madrid;2807901 Madrid distrito 01;2807901029 Madrid sección 01029;Renta bruta media por hogar;2022;48.688
28079 Madrid;2807901 Madrid distrito 01;2807901030 Madrid sección 01030;Renta neta media por persona;2022;13.931
28079 Madrid;2807901 Madrid distrito 01;2807901030 Madrid sección 01030;Renta neta media por hogar;2022;30.475
28079 Madrid;2807901 Madrid distrito 01;2807901030 Madrid sección 01030;Media de la renta por unidad de consumo;2022;18.809
